#Filenum,Time,flux,errFlux,weightMean,errWeightMean,ratio,ratioErr
27,0.000000,297165,396,29683.047510,48.270831,10.011270,0.021048
28,0.109717,299519,398,29826.701623,48.777171,10.041975,0.021160
29,0.219183,306199,402,29779.742519,48.573531,10.282124,0.021529
30,0.328650,304468,401,29843.177988,48.466332,10.202265,0.021333
31,0.438100,301995,399,29826.020185,48.468356,10.125219,0.021206
32,0.547567,299503,398,29986.336405,48.853637,9.987982,0.020999
33,0.657017,306415,403,29938.615889,49.319226,10.234775,0.021575
34,0.766217,297888,397,29931.132140,49.059540,9.952447,0.021025
35,0.875417,296983,396,29764.102989,48.781436,9.977892,0.021082
36,0.984367,303535,401,29877.335510,49.014159,10.159373,0.021399
37,1.094083,303921,400,29635.493090,47.956713,10.255304,0.021391
38,1.203033,303741,400,29523.925893,47.907987,10.287961,0.021500
39,1.311700,302753,399,29730.686948,47.996780,10.183182,0.021222
40,1.420650,300658,398,29544.487779,47.887915,10.176450,0.021297
42,1.638533,298854,397,29527.634202,47.888370,10.121163,0.021218
43,1.747200,300221,398,29406.521111,47.833152,10.209334,0.021423
44,1.856400,302532,399,29501.095574,47.903443,10.254941,0.021452
45,1.965600,301945,399,29859.108600,48.212623,10.112325,0.021099
46,2.075067,298105,396,29430.209336,47.989921,10.129218,0.021304
47,2.184000,302863,399,29425.715317,47.808103,10.292460,0.021529
48,2.293467,304506,400,29778.624175,47.970980,10.225657,0.021255
49,2.402933,298276,396,29580.259924,47.976727,10.083617,0.021135
50,2.512133,297222,396,29468.827523,47.809104,10.085980,0.021174
51,2.621850,300243,398,29525.950815,47.963141,10.168783,0.021321
52,2.731300,296702,395,29562.724134,47.893633,10.036355,0.021045
53,2.840767,305998,401,29648.902092,47.896960,10.320719,0.021469
54,2.950233,300574,398,29701.424392,47.938073,10.119851,0.021127
55,3.059950,306391,401,29543.224342,47.860751,10.370940,0.021599
56,3.169150,304793,400,29783.150248,48.124718,10.233739,0.021303
57,3.278617,302938,399,29485.863147,47.874672,10.274008,0.021480
58,3.388333,305828,401,29553.294740,47.927067,10.348355,0.021581
59,3.497783,297562,396,29500.190006,47.933149,10.086782,0.021185
60,3.607517,300115,397,29648.842764,47.979807,10.122318,0.021157
61,3.716967,300601,398,29447.988839,47.780813,10.207862,0.021377
62,3.826167,295506,395,29607.616446,47.911502,9.980743,0.020949
100,7.989567,297885,396,29813.827664,48.067967,9.991505,0.020879
101,8.098767,297192,396,29575.304498,47.981652,10.048654,0.021096
102,8.208483,298890,397,29557.621018,48.006512,10.112113,0.021217
103,8.317950,298281,396,29668.309457,47.974182,10.053859,0.021035
104,8.427417,301964,399,29858.684473,48.058381,10.113105,0.021060
105,8.536617,300566,398,29695.377914,48.001338,10.121643,0.021150
106,8.645550,304082,400,29661.655019,47.943452,10.251687,0.021364
107,8.754500,297617,396,29506.323357,47.908783,10.086550,0.021174
108,8.863433,299746,398,30086.080026,48.950637,9.962946,0.020923
109,8.972367,304049,400,29853.961886,48.401149,10.184544,0.021264
110,9.082350,293945,394,29778.274691,47.933281,9.871123,0.020677
111,9.191550,302127,399,29622.929811,47.877846,10.199092,0.021287
112,9.300750,305147,401,29766.315168,48.020227,10.251420,0.021330
113,9.410217,300375,398,29562.399334,47.844579,10.160711,0.021253
114,9.519417,303487,399,29703.394338,47.957716,10.217250,0.021274
115,9.628867,299930,397,29620.609606,47.890886,10.125720,0.021158
116,9.738600,300953,398,29554.075790,47.860312,10.183130,0.021291
117,9.848317,298181,396,29875.602874,48.014808,9.980753,0.020809
118,9.957000,303873,400,29734.714244,48.036406,10.219469,0.021296
119,10.066967,293905,393,29574.799962,47.865757,9.937683,0.020863
120,10.176950,300002,397,29622.977329,48.019648,10.127341,0.021192
121,10.286417,302896,399,29501.626903,47.899827,10.267095,0.021466
122,10.396133,304922,400,29992.023900,48.141253,10.166770,0.021076
123,10.505067,303385,399,29817.003917,48.015482,10.174899,0.021155
124,10.614533,304908,400,29641.813217,47.906133,10.286415,0.021412
125,10.724250,301271,398,29591.335060,47.894048,10.181055,0.021270
126,10.833717,310663,404,29788.889051,47.976024,10.428821,0.021588
127,10.943433,302090,399,29615.510891,47.819038,10.200398,0.021279
128,11.053150,296612,395,29694.998085,47.908263,9.988618,0.020896
