#file number,time from start,flux,flux error
27,0.000000,19434,135
28,0.109717,19798,137
29,0.219183,19750,136
30,0.328650,19746,136
31,0.438100,19657,136
32,0.547567,19826,137
33,0.657017,19843,139
34,0.766217,19886,138
35,0.875417,19817,137
36,0.984367,19746,138
37,1.094083,19492,134
38,1.203033,19538,134
39,1.311700,19615,134
40,1.420650,19622,134
42,1.638533,19624,134
43,1.747200,19717,134
44,1.856400,19372,134
45,1.965600,19977,135
46,2.075067,19249,134
47,2.184000,19119,133
48,2.293467,19247,133
49,2.402933,19496,134
50,2.512133,19783,134
51,2.621850,19915,135
52,2.731300,19818,134
53,2.840767,19247,133
54,2.950233,19864,135
55,3.059950,19449,134
56,3.169150,19790,135
57,3.278617,19808,134
58,3.388333,19982,135
59,3.497783,19450,134
60,3.607517,20009,135
61,3.716967,19761,134
62,3.826167,19695,134
100,7.989567,19014,133
101,8.098767,19583,134
102,8.208483,19498,134
103,8.317950,20039,135
104,8.427417,19692,134
105,8.536617,19836,135
106,8.645550,19539,134
107,8.754500,19490,134
108,8.863433,19695,137
109,8.972367,19737,136
110,9.082350,19810,134
111,9.191550,19790,134
112,9.300750,19838,135
113,9.410217,19835,134
114,9.519417,19839,134
115,9.628867,19654,134
116,9.738600,19564,134
117,9.848317,19517,134
118,9.957000,19924,135
119,10.066967,19786,134
120,10.176950,19810,135
121,10.286417,19865,135
122,10.396133,20348,136
123,10.505067,20105,135
124,10.614533,19668,134
125,10.724250,19535,134
126,10.833717,19663,134
127,10.943433,19860,134
128,11.053150,19984,135
129,11.162883,19674,134
130,11.272600,19928,135
131,11.382050,19799,134
132,11.491517,19680,134
133,11.600983,19259,133
134,11.710433,19475,134
135,11.819900,20174,135
136,11.929350,19690,134
137,12.038817,19877,134
138,12.148533,19165,133
139,12.257733,19588,134
140,12.367200,18980,133
141,12.476917,19841,135
142,12.586383,19847,135
143,12.695833,19718,134
144,12.805567,19713,134
145,12.915017,20040,136
146,13.024217,19836,136
147,13.133683,20002,135
148,13.242883,20029,137
149,13.352333,19720,137
150,13.462067,19611,137
151,13.571267,19682,137
152,13.680983,19358,135
153,13.790433,19820,136
154,13.900683,19403,135
155,14.010400,19864,136
156,14.119600,20149,136
157,14.229317,19326,135
158,14.338783,19620,135
159,14.448500,19484,135
160,14.557967,19615,135
161,14.667167,19887,136
162,14.776617,20134,135
163,14.886350,19872,134
164,14.996067,19637,134
165,15.105517,20115,135
166,15.215250,19574,134
167,15.324700,19786,135
168,15.433900,19722,134
169,15.543367,19953,135
170,15.652817,19907,135
171,15.762283,19655,134
172,15.871750,19699,134
173,15.981200,19806,134
174,16.090667,20412,135
175,16.200383,20002,135
176,16.310100,19597,134
177,16.419300,16908,129
178,16.529033,19206,133
179,16.638233,19757,134
180,16.747683,19457,134
181,16.857400,19621,134
182,16.967650,19689,134
183,17.077100,19771,134
190,17.843850,19804,134
194,18.281683,19837,135
195,18.390633,20216,136
196,18.499567,19396,134
197,18.608767,19977,135
198,18.717967,19806,135
199,18.827167,19684,135
200,18.936117,19858,135
201,19.045050,19735,135
202,19.154767,19618,135
203,19.264233,19711,135
204,19.373433,19741,135
205,19.482883,19431,134
206,19.592350,19635,134
207,19.702067,19668,135
208,19.811533,19456,135
209,19.920733,19689,135
210,20.030200,19851,135
211,20.139650,19517,134
212,20.248850,19680,135
213,20.358317,20200,136
214,20.467767,20212,136
215,20.577233,19505,134
216,20.686700,20049,135
217,20.796150,19518,134
218,20.905617,20023,135
219,21.014817,19727,135
220,21.124267,19697,135
221,21.233467,19735,135
222,21.343200,19582,134
223,21.452650,19962,135
224,21.561850,19938,135
225,21.671317,19316,134
226,21.781033,19924,135
227,21.890500,19771,135
228,22.000217,19965,135
229,22.109933,19534,134
230,22.219400,19426,134
231,22.328850,20124,135
232,22.438317,19936,135
233,22.547517,19791,135
234,22.656983,19609,134
235,22.766700,19702,135
236,22.876150,20029,135
237,22.985883,20186,136
238,23.095333,20008,135
239,23.204800,19988,135
240,23.314000,19789,135
241,23.423717,19943,135
242,23.532917,19683,135
243,23.642383,20177,135
244,23.751833,20158,136
245,23.861300,19752,135
246,23.970767,19617,134
247,24.079967,19788,134
248,24.189167,19653,134
249,24.298617,19579,134
250,24.408083,19821,135
251,24.517283,19603,134
252,24.627000,19791,135
253,24.736467,19298,134
254,24.845667,19824,135
255,24.955117,19741,137
256,25.064583,19102,133
257,25.174033,19782,134
258,25.283500,19975,134
259,25.393217,19341,134
260,25.502683,20138,135
261,25.612133,19604,134
262,25.721867,19627,134
263,25.831067,19783,134
264,25.940517,19814,134
265,26.050250,19526,134
266,26.159183,19548,134
267,26.268650,19536,134
268,26.378367,19568,134
269,26.487567,20346,135
270,26.597283,19636,134
271,26.707000,20086,136
272,26.816200,20065,137
273,26.925667,19932,138
274,27.035383,19669,136
275,27.144583,19831,137
276,27.254300,19708,135
277,27.363767,19600,136
278,27.472967,19191,135
279,27.582417,20001,137
280,27.692150,19357,135
281,27.801350,19982,137
282,27.911067,19804,136
283,28.020783,19959,137
284,28.130250,19712,136
285,28.239967,19754,137
286,28.349433,19983,138
287,28.458633,19826,138
288,28.568083,20006,138
289,28.677283,20195,138
290,28.786483,19660,137
291,28.895950,19613,137
292,29.005667,20069,138
293,29.115133,19704,137
294,29.224850,20062,138
