#file number,time from start,flux,flux error
56,22.489250,14734,119
58,23.757817,15479,119
59,24.337000,15828,119
60,24.916033,15871,119
63,26.655167,16360,119
64,27.236367,16468,120
65,27.819333,16602,120
67,28.982117,16505,119
68,29.566633,16865,120
69,30.150083,16704,120
70,30.732500,16683,120
72,31.898417,16636,120
73,32.487433,16498,120
74,33.076467,16029,119
75,33.664700,15704,119
76,34.253650,15808,119
77,34.843150,16108,119
81,37.198883,16536,120
82,37.784050,16432,120
83,38.365950,16447,120
84,38.955933,16111,119
85,39.542033,16232,119
86,40.126017,16241,119
87,40.707433,16634,120
89,41.881367,16540,120
90,42.469517,16551,119
91,43.057667,16609,120
92,43.642167,16641,120
93,44.232383,16727,120
94,44.822100,16617,119
95,45.411817,16645,119
97,46.591483,16709,119
98,47.174150,16628,119
99,47.759967,16699,119
100,48.350983,16666,120
101,48.941983,16628,122
103,50.121133,16525,123
104,50.709817,16750,122
106,51.889500,15709,121
107,52.478683,16939,122
109,53.652617,16859,122
110,54.241017,16130,121
112,55.404817,15221,120
113,55.992967,16475,121
114,56.582667,16301,121
115,57.171583,16100,121
117,58.349433,16235,121
118,58.938100,16160,121
119,59.525733,16224,121
120,60.149017,16313,121
121,60.728300,16613,121
122,61.307600,16042,120
125,63.070200,15033,120
126,63.652367,14615,120
145,74.876317,15358,119
146,75.455350,15737,119
147,76.087750,15344,119
149,77.354383,15728,119
150,77.933417,15815,119
151,78.570517,16075,119
154,80.326617,16418,119
155,80.915283,16300,119
158,82.677633,16538,119
159,83.267083,15521,118
176,93.253300,12723,116
180,95.607950,16116,118
181,96.198450,16256,118
182,96.788933,16542,118
186,99.150900,16649,118
187,99.741917,16382,118
188,100.331633,16468,118
190,101.511567,16244,118
193,103.276283,14438,116
194,103.858950,14557,116
197,105.607783,16162,118
199,106.786683,16544,118
201,107.956967,16695,119
202,108.546417,16968,119
203,109.136650,16811,119
205,110.308000,16865,118
206,110.897700,16565,118
208,112.067483,16738,118
210,113.238050,16536,117
212,114.408617,16290,118
213,114.996483,16401,117
214,115.587233,15920,117
216,116.762217,15889,117
217,117.350900,16293,118
218,117.942167,16001,117
219,118.530067,16274,117
220,119.118733,16154,118
221,119.708433,15652,116
222,120.298133,15254,116
224,121.471550,15729,116
227,123.238600,9659,103
229,124.416700,16074,117
231,125.587517,16207,117
232,126.172017,15162,116
235,127.939317,14796,115
238,129.705850,15751,116
242,132.066250,15202,116
243,132.656733,14886,116
244,133.246433,14818,116
246,134.420917,13723,115
357,199.801317,12353,116
