#file number,time from start,flux,flux error
27,0.000000,297165,396
28,0.109717,299519,398
29,0.219183,306199,402
30,0.328650,304468,401
31,0.438100,301995,399
32,0.547567,299503,398
33,0.657017,306415,403
34,0.766217,297888,397
35,0.875417,296983,396
36,0.984367,303535,401
37,1.094083,303921,400
38,1.203033,303741,400
39,1.311700,302753,399
40,1.420650,300658,398
42,1.638533,298854,397
43,1.747200,300221,398
44,1.856400,302532,399
45,1.965600,301945,399
46,2.075067,298105,396
47,2.184000,302863,399
48,2.293467,304506,400
49,2.402933,298276,396
50,2.512133,297222,396
51,2.621850,300243,398
52,2.731300,296702,395
53,2.840767,305998,401
54,2.950233,300574,398
55,3.059950,306391,401
56,3.169150,304793,400
57,3.278617,302938,399
58,3.388333,305828,401
59,3.497783,297562,396
60,3.607517,300115,397
61,3.716967,300601,398
62,3.826167,295506,395
100,7.989567,297885,396
101,8.098767,297192,396
102,8.208483,298890,397
103,8.317950,298281,396
104,8.427417,301964,399
105,8.536617,300566,398
106,8.645550,304082,400
107,8.754500,297617,396
108,8.863433,299746,398
109,8.972367,304049,400
110,9.082350,293945,394
111,9.191550,302127,399
112,9.300750,305147,401
113,9.410217,300375,398
114,9.519417,303487,399
115,9.628867,299930,397
116,9.738600,300953,398
117,9.848317,298181,396
118,9.957000,303873,400
119,10.066967,293905,393
120,10.176950,300002,397
121,10.286417,302896,399
122,10.396133,304922,400
123,10.505067,303385,399
124,10.614533,304908,400
125,10.724250,301271,398
126,10.833717,310663,404
127,10.943433,302090,399
128,11.053150,296612,395
129,11.162883,300636,398
130,11.272600,300813,398
131,11.382050,299884,397
132,11.491517,298781,397
133,11.600983,297397,396
134,11.710433,306304,401
135,11.819900,297783,396
136,11.929350,294229,394
137,12.038817,300875,398
138,12.148533,307083,402
139,12.257733,295151,394
140,12.367200,299027,397
141,12.476917,303630,400
142,12.586383,294531,394
143,12.695833,298318,396
144,12.805567,303629,400
145,12.915017,300006,398
146,13.024217,309334,404
147,13.133683,296618,395
148,13.242883,295368,395
149,13.352333,298841,398
150,13.462067,297064,396
151,13.571267,301986,400
152,13.680983,298867,397
153,13.790433,301633,399
154,13.900683,302904,400
155,14.010400,302981,400
156,14.119600,300310,398
157,14.229317,301436,399
158,14.338783,298280,397
159,14.448500,302071,399
160,14.557967,296302,395
161,14.667167,299294,397
162,14.776617,298207,396
163,14.886350,295703,395
164,14.996067,301006,398
165,15.105517,306727,402
166,15.215250,300058,397
167,15.324700,298431,396
168,15.433900,298243,396
169,15.543367,295148,394
170,15.652817,293551,393
171,15.762283,296679,395
172,15.871750,299068,397
173,15.981200,295281,394
174,16.090667,299146,397
175,16.200383,298920,397
176,16.310100,298193,396
177,16.419300,249810,365
178,16.529033,295423,394
179,16.638233,293868,394
180,16.747683,300565,398
181,16.857400,298674,397
182,16.967650,298696,397
183,17.077100,300712,398
190,17.843850,292768,393
194,18.281683,295724,395
195,18.390633,302413,399
196,18.499567,291130,392
197,18.608767,296702,395
198,18.717967,300036,398
199,18.827167,291553,392
200,18.936117,304188,400
201,19.045050,297091,396
202,19.154767,299123,397
203,19.264233,306453,402
204,19.373433,294101,394
205,19.482883,298661,397
206,19.592350,298290,396
207,19.702067,299873,397
208,19.811533,295413,395
209,19.920733,305349,401
210,20.030200,299510,397
211,20.139650,296009,395
212,20.248850,302740,399
213,20.358317,298339,396
214,20.467767,304210,400
215,20.577233,300077,398
216,20.686700,301400,398
217,20.796150,303076,399
218,20.905617,305289,401
219,21.014817,301213,398
220,21.124267,297499,396
221,21.233467,306218,401
222,21.343200,304537,400
223,21.452650,297071,396
224,21.561850,301597,399
225,21.671317,303845,400
226,21.781033,299587,397
227,21.890500,306969,402
228,22.000217,312810,405
229,22.109933,299353,397
230,22.219400,308744,403
231,22.328850,305597,401
232,22.438317,294797,394
233,22.547517,299577,397
234,22.656983,296195,395
235,22.766700,304142,400
236,22.876150,298646,397
237,22.985883,299626,397
238,23.095333,301363,398
239,23.204800,300994,398
240,23.314000,300928,398
241,23.423717,300341,398
242,23.532917,295752,395
243,23.642383,300364,398
244,23.751833,299476,397
245,23.861300,306523,402
246,23.970767,304293,400
247,24.079967,298842,397
248,24.189167,302300,399
249,24.298617,308083,402
250,24.408083,297375,396
251,24.517283,305354,401
252,24.627000,301102,398
253,24.736467,299546,397
254,24.845667,302116,399
255,24.955117,297289,397
256,25.064583,297328,396
257,25.174033,296785,395
258,25.283500,300792,398
259,25.393217,302506,399
260,25.502683,300506,398
261,25.612133,297154,396
262,25.721867,300661,398
263,25.831067,304799,400
264,25.940517,308076,402
265,26.050250,307101,402
266,26.159183,304558,400
267,26.268650,298180,396
268,26.378367,302992,399
269,26.487567,303578,400
270,26.597283,302347,399
271,26.707000,303865,400
272,26.816200,301974,399
273,26.925667,298219,397
274,27.035383,305178,401
275,27.144583,294433,395
276,27.254300,303319,400
277,27.363767,300068,398
278,27.472967,295866,395
279,27.582417,304184,401
280,27.692150,300589,398
281,27.801350,286092,389
282,27.911067,295386,395
283,28.020783,298731,397
284,28.130250,307896,403
285,28.239967,294194,394
286,28.349433,292244,393
287,28.458633,297868,397
288,28.568083,294850,395
289,28.677283,305994,402
290,28.786483,302456,400
291,28.895950,304596,401
292,29.005667,303732,401
293,29.115133,297634,397
294,29.224850,302586,400
295,29.334567,302039,400
296,29.444283,300385,399
297,29.553483,299663,398
298,29.662950,302032,399
299,29.772667,308980,404
300,29.881867,301875,399
301,29.991333,305251,401
302,30.101050,300887,399
303,30.210767,300717,398
304,30.320233,301369,399
305,30.429950,300168,398
306,30.539417,297091,396
307,30.648617,302735,399
308,30.758333,304843,401
309,30.867783,294518,394
310,30.977250,297956,396
311,31.086450,295538,395
312,31.195917,300028,398
313,31.305367,301134,398
314,31.414833,297120,396
315,31.523767,304622,400
316,31.632450,298332,396
317,31.741650,303356,400
318,31.851367,304308,400
319,31.961100,304208,400
320,32.070550,305662,401
321,32.180017,302529,399
322,32.289733,301246,398
323,32.399717,302951,399
324,32.509433,307705,402
325,32.618900,300410,398
326,32.728350,298092,396
327,32.837817,310782,404
328,32.947267,300305,398
329,33.057000,303883,400
330,33.166450,303461,400
331,33.275917,294684,394
332,33.385117,305103,401
333,33.494583,300966,398
334,33.603783,299863,397
335,33.713233,302691,399
336,33.822183,304254,400
337,33.931117,305034,401
338,34.040317,296801,395
339,34.149783,305365,401
340,34.259500,300462,398
341,34.368950,302510,399
342,34.478150,299881,397
343,34.587617,303527,400
344,34.697083,303484,400
345,34.806800,299777,397
346,34.916517,300872,398
347,35.025717,295333,395
348,35.135183,305928,401
349,35.244633,295915,395
350,35.353833,301601,399
351,35.463300,308534,403
352,35.572767,305416,401
353,35.681967,307872,402
354,35.791417,302213,399
355,35.900883,293962,394
356,36.010333,301555,398
357,36.119800,301484,398
358,36.229517,299999,398
359,36.338717,294638,394
360,36.448433,295410,395
361,36.558167,302310,399
362,36.668133,303546,400
363,36.777333,297679,396
364,36.887067,299203,397
365,36.996783,305034,401
366,37.106250,303048,399
367,37.215700,299977,397
368,37.325417,300665,398
369,37.434617,299562,397
370,37.544083,303123,399
371,37.653800,301034,398
372,37.763267,305715,401
373,37.872717,299909,397
374,37.982450,301408,398
375,38.091900,300414,398
376,38.201367,303329,400
377,38.311083,294668,394
378,38.420283,299768,397
379,38.530000,301636,399
