#file number,time from start,flux,flux error
56,22.489250,108586,247
58,23.757817,113786,251
59,24.337000,116120,253
60,24.916033,117254,254
63,26.655167,119141,256
64,27.236367,120068,257
65,27.819333,121061,258
67,28.982117,122586,259
68,29.566633,121899,259
69,30.150083,123257,260
70,30.732500,122900,259
72,31.898417,121303,258
73,32.487433,121445,258
74,33.076467,117439,255
75,33.664700,116292,254
76,34.253650,116301,254
77,34.843150,118713,256
81,37.198883,122479,259
82,37.784050,121973,259
83,38.365950,121641,258
84,38.955933,120481,257
85,39.542033,120449,257
86,40.126017,121249,258
87,40.707433,121292,258
89,41.881367,122466,259
90,42.469517,122685,259
91,43.057667,122446,259
92,43.642167,122533,259
93,44.232383,123365,260
94,44.822100,123725,260
95,45.411817,123397,260
97,46.591483,124246,260
98,47.174150,123350,260
99,47.759967,123125,259
100,48.350983,123441,260
101,48.941983,123685,261
103,50.121133,122785,261
104,50.709817,124466,262
106,51.889500,114582,253
107,52.478683,123851,261
109,53.652617,124170,262
110,54.241017,121541,259
112,55.404817,112099,250
113,55.992967,119931,257
114,56.582667,118372,256
115,57.171583,116993,255
117,58.349433,119207,257
118,58.938100,118081,256
119,59.525733,121538,259
120,60.149017,120697,258
121,60.728300,121259,258
122,61.307600,118338,256
125,63.070200,110184,249
126,63.652367,107213,246
145,74.876317,114374,252
146,75.455350,116615,254
147,76.087750,114613,252
149,77.354383,115363,253
150,77.933417,117515,255
151,78.570517,118820,256
154,80.326617,123034,259
155,80.915283,123027,260
158,82.677633,123114,260
159,83.267083,114973,252
176,93.253300,96275,235
180,95.607950,122046,258
181,96.198450,122266,258
182,96.788933,123864,260
186,99.150900,122961,259
187,99.741917,122376,258
188,100.331633,122155,258
190,101.511567,119337,256
193,103.276283,107408,245
194,103.858950,108516,246
197,105.607783,120243,257
199,106.786683,123316,259
201,107.956967,126321,262
202,108.546417,125467,261
203,109.136650,126528,262
205,110.308000,125036,261
206,110.897700,124524,260
208,112.067483,125030,261
210,113.238050,124989,261
212,114.408617,123016,259
213,114.996483,122671,258
214,115.587233,121121,257
216,116.762217,119532,256
217,117.350900,119845,256
218,117.942167,120363,256
219,118.530067,121569,257
220,119.118733,120377,256
221,119.708433,118129,254
222,120.298133,115033,251
224,121.471550,118802,255
227,123.238600,73873,206
229,124.416700,119466,255
231,125.587517,120008,256
232,126.172017,113467,250
235,127.939317,110307,247
238,129.705850,119146,255
242,132.066250,113850,250
243,132.656733,110631,247
244,133.246433,110450,247
246,134.420917,100934,238
357,199.801317,92766,231
