
Nov 12 20:03 [nebula_avg.cal.fits[*,1,1]]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  5006.673 3.226E-12 5.5923E-9    -1734. 1.8023E-9     2.915        0.
  5006.672 2.246E-13 5.6117E-9   -24988. 1.8047E-9     2.921        0.
   5006.67 -2.80E-12 5.6315E-9     INDEF 1.8068E-9     2.928        0.
  4957.885 1.331E-10 6.677E-10    -5.016 3.226E-10     1.944        0.
   4957.89 3.452E-11 1.1314E-9    -32.77 4.112E-10     2.585        0.
  4957.895 -3.84E-12 1.3643E-9     INDEF 4.401E-10     2.912        0.
  4957.896 3.231E-13 1.3371E-9    -4138. 4.372E-10     2.873        0.
  4957.894 -1.10E-12 1.3463E-9     INDEF 4.382E-10     2.886        0.
  4859.188 1.636E-12 -3.42E-11     20.92 -1.89E-12     17.03        0.
  4858.822 -1.10E-12 3.658E-10     INDEF 1.163E-10     2.955        0.
   4858.84 -1.20E-12 3.664E-10     INDEF 1.163E-10     2.959        0.
  4858.812 4.895E-13 3.552E-10    -725.6 1.152E-10     2.897        0.
  4858.821 3.937E-13 3.558E-10    -903.7 1.152E-10     2.901        0.
  4858.813 3.090E-13 3.564E-10    -1153. 1.153E-10     2.903        0.
  4736.643 6.363E-13 1.833E-11    -28.81 6.609E-12     2.606        0.
   4736.59 1.011E-12 1.627E-11     -16.1 6.321E-12     2.419        0.
  4736.643 6.710E-13 1.817E-11    -27.08 6.571E-12     2.598        0.
  4707.916 1.838E-13 2.125E-11    -115.6 6.150E-12     3.246        0.
  4707.869 3.459E-13 2.005E-11    -57.95 6.056E-12     3.109        0.
  4707.886 -4.86E-16 2.257E-11     INDEF 6.297E-12     3.367        0.
  4681.914 4.576E-13 1.703E-10    -372.2 5.883E-11      2.72        0.
  4681.914 -2.28E-13 1.746E-10     INDEF 5.930E-11     2.765        0.
  4681.914 -1.34E-13 1.740E-10     INDEF 5.924E-11     2.759        0.
  4362.219 3.900E-13 4.346E-11    -111.4 1.204E-11      3.39        0.
  4362.344 -2.62E-13 4.805E-11     INDEF 1.253E-11     3.602        0.
  4362.265 7.047E-13 4.064E-11    -57.67 1.196E-11     3.193        0.
  4362.214 4.576E-13 4.296E-11    -93.88 1.200E-11     3.364        0.
  4339.975 2.384E-12 9.392E-11     -39.4 3.292E-11      2.68        0.
  4339.921 2.210E-12 9.503E-11    -43.01 3.304E-11     2.702        0.
  4339.942 1.605E-12 9.881E-11    -61.57 3.346E-11     2.774        0.

Nov 18 18:09 [nebula_avg.cal.fits[*,1,1]]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  4721.462 4.094E-13 2.205E-12    -5.385 8.542E-13     2.425        0.
  4721.475 4.131E-13 2.189E-12    -5.298 8.501E-13     2.419        0.
  4721.407 3.813E-13 2.347E-12    -6.155 8.815E-13     2.501        0.
  4637.146 1.931E-13 4.132E-12     -21.4 1.612E-12     2.408        0.
  4637.148 1.860E-13 4.175E-12    -22.44 1.617E-12     2.426        0.
  4637.143 1.862E-13 4.168E-12    -22.38 1.617E-12     2.421        0.
   4630.64 6.451E-14 4.572E-12    -70.88 1.049E-12     4.094        0.
  4630.631 5.053E-14 4.687E-12    -92.75 1.062E-12     4.145        0.
  4630.625 5.637E-14 4.640E-12    -82.32 1.057E-12     4.124        0.
  4537.804 1.501E-13 6.055E-12    -40.33 1.078E-12     5.279        0.
  4537.793 1.696E-13 5.946E-12    -35.07 1.050E-12     5.318        0.
  4537.816 1.337E-13 6.236E-12    -46.63 1.093E-12     5.361        0.
  4537.776 1.603E-13 6.049E-12    -37.74 1.059E-12     5.368        0.
  4528.424 1.393E-13 5.153E-12      -37. 9.404E-13     5.148        0.
  4528.435 1.390E-13 5.154E-12    -37.08 9.413E-13     5.144        0.
  4528.412 1.435E-13 5.113E-12    -35.64 9.357E-13     5.133        0.
   4468.37 -6.92E-14 1.428E-11     INDEF 1.713E-12     7.828        0.
  4468.357 -9.29E-14 1.464E-11     INDEF 1.735E-12     7.929        0.
  4468.385 -5.92E-14 1.414E-11     INDEF 1.703E-12     7.804        0.
  4466.873 5.602E-13 5.480E-12    -9.781 1.113E-12     4.625        0.
  4467.822 -3.38E-14 1.176E-11     INDEF 1.792E-12     6.163        0.
  4920.144 1.573E-13 3.261E-12    -20.73 8.369E-13      3.66        0.
  4920.121 1.583E-13 3.257E-12    -20.57 8.365E-13     3.658        0.
  4920.113 1.679E-13 3.186E-12    -18.97 8.286E-13     3.612        0.
  4932.364 1.195E-13 2.151E-12    -18.01 6.717E-13     3.009        0.
  4932.358 1.240E-13 2.124E-12    -17.13 6.682E-13     2.986        0.
  4932.355 1.232E-13 2.127E-12    -17.27 6.689E-13     2.988        0.

Nov 19 18:11 [nebula_avg.cal.fits[*,1,1]]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  4736.611 8.524E-13 1.713E-11     -20.1 6.443E-12     2.498        0.
  4736.618 1.070E-14 2.212E-11    -2067. 7.084E-12     2.934        0.
  4736.611 8.115E-13 1.735E-11    -21.38 6.476E-12     2.517        0.
  5006.674 2.422E-13 5.6120E-9   -23171. 1.8046E-9     2.922        0.
  4957.894 8.126E-14 1.3386E-9   -16473. 4.374E-10     2.875        0.
  4957.892 7.350E-13 1.3343E-9    -1815. 4.369E-10     2.869        0.
  4957.894 1.475E-12 1.3296E-9    -901.7 4.364E-10     2.863        0.
  5006.673 3.623E-12 5.5897E-9    -1543. 1.8022E-9     2.914        0.
  5006.673 2.569E-12 5.5968E-9    -2179. 1.8029E-9     2.916        0.
  4858.821 7.949E-14 3.579E-10    -4502. 1.155E-10     2.912        0.
  4858.821 7.949E-14 3.579E-10    -4502. 1.155E-10     2.912        0.
  4858.823 2.601E-13 3.567E-10    -1371. 1.153E-10     2.905        0.
  4858.819 2.474E-13 3.568E-10    -1442. 1.154E-10     2.906        0.
  4858.821 4.278E-13 3.556E-10    -831.1 1.152E-10     2.899        0.
  4736.617 2.459E-14 2.204E-11    -896.1 7.074E-12     2.926        0.
  4736.615 1.247E-14 2.211E-11    -1773. 7.084E-12     2.932        0.
  4736.617 2.459E-14 2.204E-11    -896.1 7.074E-12     2.926        0.
  4736.618 2.686E-15 2.218E-11    -8255. 7.090E-12     2.938        0.
  4707.846 5.723E-14 2.205E-11    -385.4 6.280E-12     3.299        0.
  4707.851 8.109E-14 2.190E-11    -270.1 6.257E-12     3.288        0.
  4707.862 1.196E-13 2.163E-11    -180.9 6.226E-12     3.264        0.
  4681.904 6.367E-14 1.727E-10    -2712. 5.912E-11     2.744        0.
  4681.906 1.529E-13 1.721E-10    -1126. 5.906E-11     2.738        0.
  4681.906 3.281E-13 1.711E-10    -521.4 5.893E-11     2.727        0.
  4362.253 -4.63E-14 4.504E-11     INDEF 1.272E-11     3.326        0.
  4362.259 -1.83E-15 4.471E-11     INDEF 1.269E-11      3.31        0.
  4362.233 -3.66E-15 4.469E-11     INDEF 1.268E-11      3.31        0.
  4339.931 2.389E-13 1.069E-10    -447.7 3.459E-11     2.905        0.
  4339.931 2.389E-13 1.069E-10    -447.7 3.459E-11     2.905        0.
  4339.935 3.323E-13 1.064E-10    -320.1 3.452E-11     2.895        0.
  4339.926 1.460E-13 1.075E-10    -736.5 3.466E-11     2.914        0.
